State,Country,Time,Imports
Hawaii,Malta,2016,"136,989"
Hawaii,Italy,2016,"48,707,656"
Hawaii,Croatia,2016,"66,906"
Hawaii,Slovenia,2016,"139,381"
Hawaii,Bosnia And Herzegovina,2016,"1,085"
Hawaii,Serbia,2016,"2,079"
Hawaii,Albania,2016,"4,123"
Hawaii,Greece,2016,"20,503"
Hawaii,Romania,2016,"897,485"
Hawaii,Bulgaria,2016,"316,588"
Hawaii,Turkey,2016,"5,205,041"
Hawaii,Cyprus,2016,"2,624"
Hawaii,Syria,2016,"52,917"
Hawaii,Israel,2016,"1,376,040"
Hawaii,Jordan,2016,"586,004"
Hawaii,United Arab Emirates,2016,"116,674,744"
Hawaii,Oman,2016,"91,382"
Hawaii,Afghanistan,2016,"1,598"
Hawaii,India,2016,"5,780,416"
Hawaii,Pakistan,2016,"529,289"
Hawaii,Nepal,2016,"291,580"
Hawaii,Bangladesh,2016,"279,044"
Hawaii,Sri Lanka,2016,"1,993,306"
Hawaii,Burma,2016,"8,947"
Hawaii,Thailand,2016,"38,997,184"
Hawaii,Vietnam,2016,"83,681,753"
Hawaii,Laos,2016,"34,900"
Hawaii,Cambodia,2016,"667,199"
Hawaii,Malaysia,2016,"78,810,796"
Hawaii,Singapore,2016,"9,825,617"
Hawaii,Indonesia,2016,"696,804,756"
Hawaii,Timor-leste,2016,"167,200"
Hawaii,Philippines,2016,"27,637,244"
Hawaii,Macau,2016,"124,819"
Hawaii,Maldives,2016,"390,541"
Hawaii,China,2016,"242,161,423"
Hawaii,Korea, South,2016,"158,731,595"
Hawaii,Hong Kong,2016,"7,647,325"
Hawaii,Taiwan,2016,"50,874,358"
Hawaii,Japan,2016,"376,889,011"
Hawaii,Australia,2016,"40,631,737"
Hawaii,Christmas Island,2016,"2,683"
Hawaii,Papua New Guinea,2016,"13,860"
Hawaii,New Zealand,2016,"25,268,811"
Hawaii,Cook Islands,2016,"38,766"
Hawaii,Solomon Islands,2016,"2,830"
Hawaii,Vanuatu,2016,"89,194"
Hawaii,Kiribati,2016,"465,224"
Hawaii,New Caledonia,2016,"5,136"
Hawaii,French Polynesia,2016,"1,858,015"
Hawaii,Marshall Islands,2016,"2,525,570"
Hawaii,Micronesia,2016,"182,405"
Hawaii,Palau,2016,"4,600"
Hawaii,Fiji,2016,"3,322,992"
Hawaii,Tonga,2016,"1,801,243"
Hawaii,Morocco,2016,"106,334"
Hawaii,Tunisia,2016,"50,647"
Hawaii,Libya,2016,"143,876,417"
Hawaii,Egypt,2016,"23,580"
Hawaii,Cameroon,2016,"148,625"
Hawaii,Gambia,2016,"2,604"
Hawaii,Niger,2016,"5,987"
Hawaii,Nigeria,2016,"10,631,773"
Hawaii,Ethiopia,2016,"14,000"
Hawaii,Uganda,2016,"26,500"
Hawaii,Kenya,2016,"250,595"
Hawaii,Seychelles,2016,"13,833"
Hawaii,Tanzania,2016,"2,557"
Hawaii,Mauritius,2016,"35,942"
Hawaii,Mozambique,2016,"11,980"
Hawaii,Madagascar,2016,"21,702"
Hawaii,South Africa,2016,"2,345,024"
Hawaii,Eswatini,2016,"3,851"
Hawaii,Zimbabwe,2016,"4,500"
Hawaii,Malawi,2016,"570,000"
Iowa,Canada,2016,"2,449,936,991"
Iowa,Mexico,2016,"1,145,045,861"
Iowa,Guatemala,2016,"2,259,361"
Iowa,El Salvador,2016,"3,486,890"
Iowa,Honduras,2016,"79,494"
Iowa,Nicaragua,2016,"11,052,455"
Iowa,Costa Rica,2016,"8,058,519"
Iowa,Panama,2016,"2,383,706"
Iowa,Bahamas,2016,"11,555"
Iowa,Jamaica,2016,"7,631"
Iowa,Turks And Caicos Islands,2016,"5,000"
Iowa,Cayman Islands,2016,"468"
Iowa,Haiti,2016,"124,310"
Iowa,Dominican Republic,2016,"4,195,121"
Iowa,Antigua And Barbuda,2016,"54,640"
