state,id,time,imports,exports,total_trade_activity,trade_balance
Puerto Rico,PR,2019,24.2,20.4,44.6,-3.8
Rhode Island,RI,2019,11.5,2.7,14.2,-8.8
South Carolina,SC,2019,42.2,41.5,83.7,-0.7
South Dakota,SD,2019,1.1,1.4,2.5,0.3
Tennessee,TN,2019,86.9,31.1,118,-55.8
Texas,TX,2019,294.2,328.6,622.8,34.4
Utah,UT,2019,15.2,17.4,32.6,2.2
Vermont,VT,2019,3.5,2.8,6.3,-0.7
Virginia,VA,2019,29.9,17.8,47.7,-12.1
US Virgin Islands,VI,2019,0.9,0.7,1.6,-0.2
Washington,WA,2019,52.7,60.3,113,7.6
West Virginia,WV,2019,3.5,5.9,9.4,2.4
Wisconsin,WI,2019,28.3,21.7,50,-6.6
Wyoming,WY,2019,1.5,1.4,2.9,-0.1
Alabama,AL,2020,25.5,17.4,42.9,-8.1
Alaska,AK,2020,2.4,4.6,7,2.2
Arizona,AZ,2020,25.6,20.2,45.8,-5.4
Arkansas,AR,2020,8.6,5.2,13.8,-3.4
California,CA,2020,395.3,155.9,551.2,-239.4
Colorado,CO,2020,12,8.2,20.2,-3.8
Connecticut,CT,2020,18,13.8,31.8,-4.2
Delaware,DE,2020,9.1,3.9,13,-5.2
Dist of Columbia,DC,2020,0.5,2.8,3.3,2.3
Florida,FL,2020,76.7,45.8,122.5,-30.9
Georgia,GA,2020,98.7,38.6,137.3,-60.1
Hawaii,HI,2020,1.9,0.3,2.2,-1.6
Idaho,ID,2020,5.5,3.4,8.9,-2.1
Illinois,IL,2020,155.7,53.3,209,-102.4
Indiana,IN,2020,63.9,35.6,99.5,-28.3
Iowa,IA,2020,8.9,12.6,21.5,3.7
Kansas,KS,2020,10.4,10.4,20.8,0
Kentucky,KY,2020,54.6,24.6,79.2,-30
Louisiana,LA,2020,20.7,58.6,79.3,37.9
Maine,ME,2020,4.7,2.4,7.1,-2.3
Maryland,MD,2020,30.5,12.7,43.2,-17.8
Massachusetts,MA,2020,35,24.9,59.9,-10.1
Michigan,MI,2020,115.2,44.9,160.1,-70.3
Minnesota,MN,2020,28,20.2,48.2,-7.8
Mississippi,MS,2020,15.7,10.3,26,-5.4
Missouri,MO,2020,18.7,12.9,31.6,-5.8
Montana,MT,2020,3.9,1.5,5.4,-2.4
Nebraska,NE,2020,3.7,7,10.7,3.3
Nevada,NV,2020,12.9,10.4,23.3,-2.5
New Hampshire,NH,2020,6.9,5.5,12.4,-1.4
New Jersey,NJ,2020,114.8,38,152.8,-76.8
New Mexico,NM,2020,4.5,3.7,8.2,-0.8
New York,NY,2020,154.4,65.7,220.1,-88.7
North Carolina,NC,2020,60.9,28.5,89.4,-32.4
North Dakota,ND,2020,2.8,5.2,8,2.4
Ohio,OH,2020,65.4,45.2,110.6,-20.2
Oklahoma,OK,2020,10.8,5.4,16.2,-5.4
Oregon,OR,2020,17.2,26.6,43.8,9.4
Pennsylvania,PA,2020,84.6,37.5,122.1,-47.1
Puerto Rico,PR,2020,21.3,16.6,37.9,-4.7
Rhode Island,RI,2020,8.6,2.4,11,-6.2
South Carolina,SC,2020,40,30.3,70.3,-9.7
South Dakota,SD,2020,1.3,1.4,2.7,0.1
Tennessee,TN,2020,83.2,28.2,111.4,-55
Texas,TX,2020,247.2,277.4,524.6,30.2
Utah,UT,2020,15.5,17.7,33.2,2.2
Vermont,VT,2020,2.6,2.4,5,-0.2
Virginia,VA,2020,28.9,16.4,45.3,-12.5
US Virgin Islands,VI,2020,0.9,0.6,1.5,-0.3
Washington,WA,2020,48.7,41.1,89.8,-7.6
West Virginia,WV,2020,2.9,4.6,7.5,1.7
Wisconsin,WI,2020,26.6,20.5,47.1,-6.1
Wyoming,WY,2020,1.1,1.2,2.3,0.1
Alabama,AL,2021,31.5,20.9,52.4,-10.6
Alaska,AK,2021,3.8,6,9.8,2.2
Arizona,AZ,2021,28,24.1,52.1,-3.9
Arkansas,AR,2021,9.9,5.6,15.5,-4.3
California,CA,2021,469.8,174.8,644.6,-295
Colorado,CO,2021,16.2,9.1,25.3,-7.1
Connecticut,CT,2021,20.7,14.5,35.2,-6.2
Delaware,DE,2021,11.1,4.7,15.8,-6.4
Dist of Columbia,DC,2021,0.6,1.5,2.1,0.9
Florida,FL,2021,93.1,55.8,148.9,-37.3
Georgia,GA,2021,123.4,42.4,165.8,-81
Hawaii,HI,2021,2.6,0.3,2.9,-2.3
Idaho,ID,2021,6.2,3.8,10,-2.4
Illinois,IL,2021,203.1,66.1,269.2,-137
Indiana,IN,2021,77.3,41.4,118.7,-35.9
Iowa,IA,2021,11.5,15.8,27.3,4.3
Kansas,KS,2021,12.1,12.5,24.6,0.4
Kentucky,KY,2021,67.8,29.8,97.6,-38
Louisiana,LA,2021,30.9,76.6,107.5,45.7
Maine,ME,2021,6.4,3.1,9.5,-3.3
Maryland,MD,2021,38.5,16.4,54.9,-22.1
Massachusetts,MA,2021,43.9,32.4,76.3,-11.5
Michigan,MI,2021,131.5,56.8,188.3,-74.7
Minnesota,MN,2021,32.4,23.5,55.9,-8.9
Mississippi,MS,2021,18.4,12.8,31.2,-5.6
Missouri,MO,2021,24.5,15.7,40.2,-8.8
Montana,MT,2021,6.5,2,8.5,-4.5
Nebraska,NE,2021,4.7,8,12.7,3.3
Nevada,NV,2021,16.1,10.5,26.6,-5.6
New Hampshire,NH,2021,8.1,6.4,14.5,-1.7
New Jersey,NJ,2021,156.7,49.4,206.1,-107.3
New Mexico,NM,2021,6,5.5,11.5,-0.5
New York,NY,2021,155.5,90.2,245.7,-65.3
North Carolina,NC,2021,73.7,33.5,107.2,-40.2
North Dakota,ND,2021,3.3,5.2,8.5,1.9
Ohio,OH,2021,76,50.8,126.8,-25.2
Oklahoma,OK,2021,16.2,6.2,22.4,-10
Oregon,OR,2021,22.5,30,52.5,7.5
Pennsylvania,PA,2021,98,44.8,142.8,-53.2
Puerto Rico,PR,2021,22.5,18.2,40.7,-4.3
Rhode Island,RI,2021,9.2,3,12.2,-6.2
South Carolina,SC,2021,50.1,29.6,79.7,-20.5
South Dakota,SD,2021,1.7,1.9,3.6,0.2
Tennessee,TN,2021,93.7,34.8,128.5,-58.9
Texas,TX,2021,311.7,378,689.7,66.3
Utah,UT,2021,18.1,18.1,36.2,0
Vermont,VT,2021,3.3,2.6,5.9,-0.7
Virginia,VA,2021,34.7,20,54.7,-14.7
US Virgin Islands,VI,2021,1.4,1.6,3,0.2
Washington,WA,2021,61.7,53.7,115.4,-8
West Virginia,WV,2021,3.7,6.3,10,2.6
Wisconsin,WI,2021,36.3,24.8,61.1,-11.5
Wyoming,WY,2021,1.7,1.4,3.1,-0.3
Alabama,AL,2022,37,26,63,-11
Alaska,AK,2022,3.7,5.6,9.3,1.9
Arizona,AZ,2022,33,27.2,60.2,-5.8
Arkansas,AR,2022,7.6,5.8,13.4,-1.8
California,CA,2022,508.4,186.3,694.7,-322.1
Colorado,CO,2022,20.1,10.3,30.4,-9.8
Connecticut,CT,2022,21.3,15.4,36.7,-5.9
Delaware,DE,2022,14.8,5.2,20,-9.6
Dist of Columbia,DC,2022,1.2,1.5,2.7,0.3
Florida,FL,2022,112,67.7,179.7,-44.3
Georgia,GA,2022,148.4,47.3,195.7,-101.1
Hawaii,HI,2022,2.5,0.4,2.9,-2.1
Idaho,ID,2022,7.3,4.1,11.4,-3.2
Illinois,IL,2022,242.9,78.9,321.8,-164
Indiana,IN,2022,89.8,45.4,135.2,-44.4
Iowa,IA,2022,13.9,18,31.9,4.1
Kansas,KS,2022,13.4,14,27.4,0.6
Kentucky,KY,2022,69.3,34.9,104.2,-34.4
Louisiana,LA,2022,38.1,123.4,161.5,85.3
