commodity,state,time,country,total_exports_value
333 Machinery, Except Electrical,South Carolina,2016,World Total,"2,329,690,087"
333 Machinery, Except Electrical,South Dakota,2016,World Total,"248,668,473"
333 Machinery, Except Electrical,Tennessee,2016,World Total,"2,735,567,006"
333 Machinery, Except Electrical,Utah,2016,World Total,"497,872,240"
333 Machinery, Except Electrical,Virginia,2016,World Total,"1,468,617,447"
333 Machinery, Except Electrical,US Virgin Islands,2016,World Total,"284,729"
333 Machinery, Except Electrical,Vermont,2016,World Total,"141,550,649"
333 Machinery, Except Electrical,Washington,2016,World Total,"1,936,741,536"
333 Machinery, Except Electrical,Wisconsin,2016,World Total,"4,091,228,002"
333 Machinery, Except Electrical,West Virginia,2016,World Total,"676,175,363"
333 Machinery, Except Electrical,Wyoming,2016,World Total,"54,444,182"
334 Computer & Electronic Products,Arizona,2016,World Total,"5,599,553,514"
334 Computer & Electronic Products,Alaska,2016,World Total,"21,396,653"
334 Computer & Electronic Products,Alabama,2016,World Total,"555,547,352"
334 Computer & Electronic Products,Arkansas,2016,World Total,"284,949,252"
334 Computer & Electronic Products,California,2016,World Total,"42,220,154,722"
334 Computer & Electronic Products,Colorado,2016,World Total,"1,910,805,445"
334 Computer & Electronic Products,Connecticut,2016,World Total,"1,108,703,730"
334 Computer & Electronic Products,Dist of Columbia,2016,World Total,"43,324,568"
334 Computer & Electronic Products,Delaware,2016,World Total,"496,536,126"
334 Computer & Electronic Products,Florida,2016,World Total,"12,032,560,430"
334 Computer & Electronic Products,Georgia,2016,World Total,"2,401,870,102"
334 Computer & Electronic Products,Hawaii,2016,World Total,"39,400,098"
334 Computer & Electronic Products,Iowa,2016,World Total,"593,278,296"
334 Computer & Electronic Products,Idaho,2016,World Total,"2,247,931,575"
334 Computer & Electronic Products,Illinois,2016,World Total,"7,694,433,959"
334 Computer & Electronic Products,Indiana,2016,World Total,"1,561,759,023"
334 Computer & Electronic Products,Kansas,2016,World Total,"673,395,389"
334 Computer & Electronic Products,Kentucky,2016,World Total,"1,571,280,928"
334 Computer & Electronic Products,Louisiana,2016,World Total,"175,019,354"
334 Computer & Electronic Products,Massachusetts,2016,World Total,"6,954,970,679"
334 Computer & Electronic Products,Maryland,2016,World Total,"1,558,156,095"
334 Computer & Electronic Products,Maine,2016,World Total,"327,580,994"
334 Computer & Electronic Products,Michigan,2016,World Total,"3,100,196,806"
334 Computer & Electronic Products,Minnesota,2016,World Total,"3,358,724,000"
334 Computer & Electronic Products,Missouri,2016,World Total,"635,759,328"
334 Computer & Electronic Products,Mississippi,2016,World Total,"889,914,802"
334 Computer & Electronic Products,Montana,2016,World Total,"30,915,212"
334 Computer & Electronic Products,North Carolina,2016,World Total,"2,438,227,569"
334 Computer & Electronic Products,North Dakota,2016,World Total,"45,837,182"
334 Computer & Electronic Products,Nebraska,2016,World Total,"207,515,372"
334 Computer & Electronic Products,New Hampshire,2016,World Total,"1,280,867,835"
334 Computer & Electronic Products,New Jersey,2016,World Total,"4,227,538,295"
334 Computer & Electronic Products,New Mexico,2016,World Total,"2,096,824,093"
334 Computer & Electronic Products,Nevada,2016,World Total,"1,603,983,576"
334 Computer & Electronic Products,New York,2016,World Total,"6,285,423,951"
334 Computer & Electronic Products,Ohio,2016,World Total,"2,632,940,067"
334 Computer & Electronic Products,Oklahoma,2016,World Total,"673,804,730"
334 Computer & Electronic Products,Oregon,2016,World Total,"9,836,292,123"
334 Computer & Electronic Products,Pennsylvania,2016,World Total,"3,475,887,151"
334 Computer & Electronic Products,Puerto Rico,2016,World Total,"270,573,346"
334 Computer & Electronic Products,Rhode Island,2016,World Total,"162,616,332"
334 Computer & Electronic Products,South Carolina,2016,World Total,"1,197,765,977"
334 Computer & Electronic Products,South Dakota,2016,World Total,"89,530,015"
334 Computer & Electronic Products,Tennessee,2016,World Total,"5,290,173,262"
334 Computer & Electronic Products,Texas,2016,World Total,"47,147,951,320"
334 Computer & Electronic Products,Utah,2016,World Total,"1,718,107,664"
334 Computer & Electronic Products,Virginia,2016,World Total,"2,197,368,446"
334 Computer & Electronic Products,US Virgin Islands,2016,World Total,"1,352,166"
334 Computer & Electronic Products,Vermont,2016,World Total,"1,902,028,089"
334 Computer & Electronic Products,Washington,2016,World Total,"3,844,052,223"
334 Computer & Electronic Products,Wisconsin,2016,World Total,"2,868,867,586"
334 Computer & Electronic Products,West Virginia,2016,World Total,"115,872,092"
334 Computer & Electronic Products,Wyoming,2016,World Total,"11,887,237"
335 Electrical Equipment, Appliances & Components,California,2016,World Total,"6,853,281,845"
335 Electrical Equipment, Appliances & Components,Alaska,2016,World Total,"6,516,150"
335 Electrical Equipment, Appliances & Components,Alabama,2016,World Total,"215,539,087"
335 Electrical Equipment, Appliances & Components,Arkansas,2016,World Total,"276,828,292"
335 Electrical Equipment, Appliances & Components,Arizona,2016,World Total,"1,690,464,394"
335 Electrical Equipment, Appliances & Components,Colorado,2016,World Total,"218,265,243"
335 Electrical Equipment, Appliances & Components,Florida,2016,World Total,"2,225,169,895"
335 Electrical Equipment, Appliances & Components,Connecticut,2016,World Total,"958,887,470"
335 Electrical Equipment, Appliances & Components,Dist of Columbia,2016,World Total,"322,071,038"
335 Electrical Equipment, Appliances & Components,Delaware,2016,World Total,"32,242,520"
335 Electrical Equipment, Appliances & Components,Georgia,2016,World Total,"1,631,208,653"
335 Electrical Equipment, Appliances & Components,Hawaii,2016,World Total,"10,430,620"
335 Electrical Equipment, Appliances & Components,Iowa,2016,World Total,"280,634,390"
335 Electrical Equipment, Appliances & Components,Idaho,2016,World Total,"59,416,116"
335 Electrical Equipment, Appliances & Components,Illinois,2016,World Total,"3,673,369,117"
335 Electrical Equipment, Appliances & Components,Indiana,2016,World Total,"1,339,508,430"
335 Electrical Equipment, Appliances & Components,Kansas,2016,World Total,"254,199,563"
335 Electrical Equipment, Appliances & Components,Kentucky,2016,World Total,"658,248,321"
335 Electrical Equipment, Appliances & Components,Louisiana,2016,World Total,"174,256,145"
335 Electrical Equipment, Appliances & Components,Massachusetts,2016,World Total,"1,237,952,371"
335 Electrical Equipment, Appliances & Components,Maryland,2016,World Total,"308,278,090"
335 Electrical Equipment, Appliances & Components,Maine,2016,World Total,"28,731,366"
335 Electrical Equipment, Appliances & Components,Michigan,2016,World Total,"2,433,448,838"
335 Electrical Equipment, Appliances & Components,Minnesota,2016,World Total,"1,128,511,815"
335 Electrical Equipment, Appliances & Components,Missouri,2016,World Total,"689,829,168"
335 Electrical Equipment, Appliances & Components,Mississippi,2016,World Total,"331,111,985"
335 Electrical Equipment, Appliances & Components,Montana,2016,World Total,"19,991,186"
335 Electrical Equipment, Appliances & Components,North Carolina,2016,World Total,"1,561,517,531"
335 Electrical Equipment, Appliances & Components,North Dakota,2016,World Total,"58,998,302"
335 Electrical Equipment, Appliances & Components,Nebraska,2016,World Total,"244,869,336"
335 Electrical Equipment, Appliances & Components,New Hampshire,2016,World Total,"388,048,262"
335 Electrical Equipment, Appliances & Components,New Jersey,2016,World Total,"899,309,252"
335 Electrical Equipment, Appliances & Components,New Mexico,2016,World Total,"200,817,466"
335 Electrical Equipment, Appliances & Components,Nevada,2016,World Total,"198,078,532"
335 Electrical Equipment, Appliances & Components,New York,2016,World Total,"1,643,210,646"
335 Electrical Equipment, Appliances & Components,Ohio,2016,World Total,"2,334,500,780"
335 Electrical Equipment, Appliances & Components,Oklahoma,2016,World Total,"355,731,531"
335 Electrical Equipment, Appliances & Components,Oregon,2016,World Total,"391,303,627"
335 Electrical Equipment, Appliances & Components,Pennsylvania,2016,World Total,"2,071,089,847"
335 Electrical Equipment, Appliances & Components,Puerto Rico,2016,World Total,"371,584,686"
335 Electrical Equipment, Appliances & Components,Rhode Island,2016,World Total,"133,114,548"
335 Electrical Equipment, Appliances & Components,South Carolina,2016,World Total,"976,179,315"
335 Electrical Equipment, Appliances & Components,South Dakota,2016,World Total,"17,613,060"
335 Electrical Equipment, Appliances & Components,Tennessee,2016,World Total,"1,338,761,378"
335 Electrical Equipment, Appliances & Components,Texas,2016,World Total,"11,678,029,812"
335 Electrical Equipment, Appliances & Components,Utah,2016,World Total,"371,919,115"
335 Electrical Equipment, Appliances & Components,Virginia,2016,World Total,"498,773,942"
335 Electrical Equipment, Appliances & Components,US Virgin Islands,2016,World Total,"216,026"
335 Electrical Equipment, Appliances & Components,Vermont,2016,World Total,"76,213,194"
335 Electrical Equipment, Appliances & Components,Washington,2016,World Total,"1,020,237,713"
335 Electrical Equipment, Appliances & Components,Wisconsin,2016,World Total,"1,563,606,515"
335 Electrical Equipment, Appliances & Components,West Virginia,2016,World Total,"34,155,983"
335 Electrical Equipment, Appliances & Components,Wyoming,2016,World Total,"19,781,208"
