commodity,state,time,country,total_import_values
113 Forestry Products, Nesoi,Wisconsin,2016,World Total,"10,516,687"
113 Forestry Products, Nesoi,West Virginia,2016,World Total,"342,204"
113 Forestry Products, Nesoi,Wyoming,2016,World Total,"1,026,416"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Alaska,2016,World Total,"5,975,723"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Alabama,2016,World Total,"2,511,424"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Arkansas,2016,World Total,"11,375,547"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Arizona,2016,World Total,"55,718,088"
114 Fish, Fresh/chilled/frozen & Other Marine Products,California,2016,World Total,"3,777,177,056"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Colorado,2016,World Total,"13,033,777"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Connecticut,2016,World Total,"207,073,630"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Dist of Columbia,2016,World Total,"5,776,888"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Delaware,2016,World Total,"10,319,739"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Florida,2016,World Total,"2,103,749,251"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Georgia,2016,World Total,"335,414,937"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Hawaii,2016,World Total,"63,480,957"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Iowa,2016,World Total,"3,455,468"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Idaho,2016,World Total,"3,842,482"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Illinois,2016,World Total,"744,515,921"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Indiana,2016,World Total,"126,857,400"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Kansas,2016,World Total,"4,245,945"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Kentucky,2016,World Total,"11,134,841"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Louisiana,2016,World Total,"27,166,920"
114 Fish, Fresh/chilled/frozen & Other Marine Products,Massachusetts,2016,World Total,"2,019,523,628"
