State,Country,Time,Exports
Alabama,Vietnam,2016,"72,314,747"
Alabama,Laos,2016,"516,422"
Alabama,Cambodia,2016,"210,868"
Alabama,Malaysia,2016,"91,412,500"
Alabama,Singapore,2016,"139,431,532"
Alabama,Indonesia,2016,"37,304,459"
Alabama,Brunei,2016,"1,024,423"
Alabama,Philippines,2016,"38,609,103"
Alabama,Macau,2016,"54,563"
Alabama,Maldives,2016,"718,640"
Alabama,China,2016,"3,268,049,805"
Alabama,Mongolia,2016,"447,658"
Alabama,Korea, South,2016,"508,246,359"
Alabama,Hong Kong,2016,"125,365,896"
Alabama,Taiwan,2016,"198,898,601"
Alabama,Japan,2016,"540,169,134"
Alabama,Australia,2016,"297,851,808"
Alabama,Papua New Guinea,2016,"33,533"
Alabama,New Zealand,2016,"68,701,465"
Alabama,New Caledonia,2016,"445,783"
Alabama,French Polynesia,2016,"254,592"
Alabama,Micronesia,2016,"365,000"
Alabama,Fiji,2016,"10,544"
Alabama,Tonga,2016,"22,029"
Alabama,Morocco,2016,"7,688,575"
Alabama,Algeria,2016,"9,704,562"
Alabama,Tunisia,2016,"1,059,440"
Alabama,Libya,2016,"2,842,252"
Alabama,Egypt,2016,"32,594,639"
Alabama,South Sudan,2016,"49,254"
Alabama,Equatorial Guinea,2016,"16,539"
Alabama,Mauritania,2016,"3,145,954"
Alabama,Cameroon,2016,"205,544"
Alabama,Senegal,2016,"270,286"
Alabama,Mali,2016,"177,355"
Alabama,Guinea,2016,"1,666,827"
Alabama,Sierra Leone,2016,"676,068"
Alabama,Cote D'ivoire,2016,"387,116"
Alabama,Ghana,2016,"3,155,993"
Alabama,Niger,2016,"194,100"
Alabama,Togo,2016,"243,829"
Alabama,Nigeria,2016,"12,911,880"
Alabama,Gabon,2016,"24,966"
Alabama,Chad,2016,"10,170,786"
Alabama,Burkina Faso,2016,"325,717"
Alabama,Benin,2016,"3,021,213"
Alabama,Angola,2016,"3,423,771"
Alabama,Congo,2016,"2,640,549"
Alabama,Cabo Verde,2016,"35,000"
Alabama,Liberia,2016,"28,997,822"
Alabama,Democratic Republic Of The Congo,2016,"147,838"
Alabama,Burundi,2016,"8,687"
Alabama,Rwanda,2016,"15,545"
Alabama,Eritrea,2016,"330,646"
Alabama,Ethiopia,2016,"625,079"
Alabama,Djibouti,2016,"233,935"
Alabama,Uganda,2016,"397,211"
Alabama,Kenya,2016,"36,999,849"
Alabama,Seychelles,2016,"3,315"
Alabama,Tanzania,2016,"463,201"
Alabama,Mauritius,2016,"92,290"
Alabama,Mozambique,2016,"281,410"
Alabama,Madagascar,2016,"72,600"
Alabama,Reunion,2016,"3,332"
Alabama,South Africa,2016,"174,388,319"
Alabama,Namibia,2016,"280,366"
Alabama,Botswana,2016,"150,300"
Alabama,Zambia,2016,"60,948"
Alabama,Eswatini,2016,"12,000"
Alabama,Zimbabwe,2016,"23,461"
Alabama,Malawi,2016,"25,569"
Arkansas,Canada,2016,"1,163,637,560"
Arkansas,Mexico,2016,"684,818,591"
Arkansas,Guatemala,2016,"71,651,901"
Arkansas,Belize,2016,"856,779"
Arkansas,El Salvador,2016,"50,490,502"
Arkansas,Honduras,2016,"24,851,625"
Arkansas,Nicaragua,2016,"4,108,914"
Arkansas,Costa Rica,2016,"12,217,935"
Arkansas,Panama,2016,"17,680,080"
Arkansas,Bermuda,2016,"2,501,864"
Arkansas,Bahamas,2016,"1,842,652"
Arkansas,Cuba,2016,"5,472,033"
Arkansas,Jamaica,2016,"10,643,114"
Arkansas,Turks And Caicos Islands,2016,"783,355"
Arkansas,Cayman Islands,2016,"274,963"
Arkansas,Haiti,2016,"50,794,705"
Arkansas,Dominican Republic,2016,"29,133,478"
Arkansas,British Virgin Islands,2016,"47,725,914"
Arkansas,St Kitts And Nevis,2016,"251,899"
Arkansas,Antigua And Barbuda,2016,"125,374"
Arkansas,Montserrat,2016,"23,108"
Arkansas,Dominica,2016,"3,337"
Arkansas,Grenada,2016,"74,112"
Arkansas,Barbados,2016,"784,294"
Arkansas,Trinidad And Tobago,2016,"3,732,406"
Arkansas,Sint Maarten,2016,"613,742"
Arkansas,Curacao,2016,"332,165"
Arkansas,Aruba,2016,"1,018,870"
Arkansas,Colombia,2016,"62,588,732"
Arkansas,Venezuela,2016,"14,960,385"
Arkansas,Guyana,2016,"459,328"
Arkansas,Suriname,2016,"407,973"
Arkansas,Ecuador,2016,"15,054,401"
Arkansas,Peru,2016,"11,514,099"
Arkansas,Bolivia,2016,"396,185"
Arkansas,Chile,2016,"28,814,021"
Arkansas,Brazil,2016,"59,961,204"
Arkansas,Paraguay,2016,"1,341,904"
Arkansas,Uruguay,2016,"1,430,810"
Arkansas,Argentina,2016,"11,501,499"
Arkansas,Iceland,2016,"92,490"
Arkansas,Sweden,2016,"12,825,863"
Arkansas,Norway,2016,"6,421,564"
Arkansas,Finland,2016,"659,696"
Arkansas,Denmark,2016,"54,399,587"
Arkansas,United Kingdom,2016,"142,816,720"
Arkansas,Ireland,2016,"1,896,516"
Arkansas,Netherlands,2016,"99,614,505"
Arkansas,Belgium,2016,"125,982,809"
Arkansas,Luxembourg,2016,"1,183,426"
Arkansas,France,2016,"783,244,747"
Arkansas,Germany,2016,"77,278,287"
Arkansas,Austria,2016,"11,252,594"
Arkansas,Czech Republic,2016,"5,691,112"
Arkansas,Slovakia,2016,"329,702"
Arkansas,Hungary,2016,"684,178"
Arkansas,Switzerland,2016,"71,147,570"
Arkansas,Estonia,2016,"195,681"
Arkansas,Latvia,2016,"2,742,125"
Arkansas,Lithuania,2016,"462,064"
Arkansas,Poland,2016,"3,756,322"
Arkansas,Russia,2016,"11,938,061"
Arkansas,Belarus,2016,"47,394"
Arkansas,Ukraine,2016,"465,592"
Arkansas,Armenia,2016,"70,189"
Arkansas,Azerbaijan,2016,"192,000"
Arkansas,Kazakhstan,2016,"2,116,393"
Arkansas,Kyrgyzstan,2016,"118,196"
Arkansas,Turkmenistan,2016,"60,220"
Arkansas,Spain,2016,"13,690,800"
Arkansas,Portugal,2016,"1,084,799"
Arkansas,Malta,2016,"667,607"
Arkansas,Italy,2016,"60,239,914"
Arkansas,Croatia,2016,"383,522"
Arkansas,Slovenia,2016,"170,394"
Arkansas,Bosnia And Herzegovina,2016,"33,705"
Arkansas,Serbia,2016,"166,302"
Arkansas,Kosovo,2016,"5,240"
Arkansas,Montenegro,2016,"77,150"
Arkansas,Greece,2016,"1,422,799"
Arkansas,Romania,2016,"1,565,531"
Arkansas,Bulgaria,2016,"784,037"
Arkansas,Turkey,2016,"18,985,893"
Arkansas,Cyprus,2016,"33,365"
Arkansas,Lebanon,2016,"994,317"
Arkansas,Iraq,2016,"22,994,737"
Arkansas,Israel,2016,"28,365,892"
Arkansas,Jordan,2016,"1,852,331"
Arkansas,Kuwait,2016,"12,266,290"
Arkansas,Saudi Arabia,2016,"56,040,390"
Arkansas,Qatar,2016,"2,782,882"
Arkansas,United Arab Emirates,2016,"141,832,187"
Arkansas,Yemen,2016,"1,804,483"
Arkansas,Oman,2016,"21,302,899"
Arkansas,Bahrain,2016,"433,777"
Arkansas,Afghanistan,2016,"131,907"
Arkansas,India,2016,"39,872,017"
Arkansas,Pakistan,2016,"4,781,360"
Arkansas,Nepal,2016,"9,276"
Arkansas,Bangladesh,2016,"6,432,163"
Arkansas,Sri Lanka,2016,"545,877"
Arkansas,Thailand,2016,"15,732,898"
Arkansas,Vietnam,2016,"26,631,208"
Arkansas,Laos,2016,"8,050"
Arkansas,Malaysia,2016,"12,827,497"
Arkansas,Singapore,2016,"184,351,914"
Arkansas,Indonesia,2016,"24,749,029"
Arkansas,Brunei,2016,"78,848"
Arkansas,Philippines,2016,"18,632,126"
Arkansas,Macau,2016,"11,537,133"
Arkansas,China,2016,"274,654,062"
Arkansas,Mongolia,2016,"126,240"
Arkansas,Korea, South,2016,"145,928,323"
Arkansas,Hong Kong,2016,"112,567,623"
Arkansas,Taiwan,2016,"70,160,302"
Arkansas,Japan,2016,"280,678,144"
Arkansas,Australia,2016,"144,768,534"
Arkansas,New Zealand,2016,"24,051,775"
Arkansas,New Caledonia,2016,"140,529"
Arkansas,French Polynesia,2016,"104,677"
Arkansas,Micronesia,2016,"25,379"
Arkansas,Fiji,2016,"56,685"
Arkansas,Tonga,2016,"1,031,832"
Arkansas,Morocco,2016,"19,424,903"
Arkansas,Algeria,2016,"252,838"
Arkansas,Tunisia,2016,"222,919"
Arkansas,Libya,2016,"14,621,189"
Arkansas,Egypt,2016,"6,413,930"
Arkansas,Equatorial Guinea,2016,"1,890,016"
Arkansas,Mauritania,2016,"49,800"
Arkansas,Cameroon,2016,"96,884"
Arkansas,Senegal,2016,"367,444"
Arkansas,Guinea,2016,"21,342"
Arkansas,Sierra Leone,2016,"3,963,512"
Arkansas,Cote D'ivoire,2016,"2,386,164"
Arkansas,Ghana,2016,"4,892,538"
Arkansas,Togo,2016,"163,347"
Arkansas,Nigeria,2016,"16,618,326"
Arkansas,Gabon,2016,"338,639"
Arkansas,Benin,2016,"1,045,598"
Arkansas,Angola,2016,"574,563"
Arkansas,Congo,2016,"20,400"
Arkansas,Liberia,2016,"571,816"
Arkansas,Democratic Republic Of The Congo,2016,"4,350"
Arkansas,Ethiopia,2016,"34,321"
Arkansas,Uganda,2016,"7,461"
Arkansas,Kenya,2016,"263,940"
Arkansas,British Indian Ocean Territories,2016,"11,942"
Arkansas,Tanzania,2016,"30,813"
Arkansas,Mauritius,2016,"17,284"
Arkansas,Madagascar,2016,"332,623"
Arkansas,Comoros,2016,"81,243"
Arkansas,Reunion,2016,"37,046"
Arkansas,South Africa,2016,"44,219,593"
Arkansas,Namibia,2016,"4,863"
Arkansas,Zimbabwe,2016,"12,339"
Arizona,Greenland,2016,"170,286"
Arizona,Canada,2016,"2,138,143,929"
Arizona,Mexico,2016,"8,285,204,791"
